HITId,AssignmentId,WorkerId,WorkTimeInSeconds,Input.Id,Input.Venue,Input.Title,Input.Authors,Input.Cites,Input.Abstract,Answer.DOI,Answer.Methods?,Answer.Primary?,Answer.Quant?,Answer.Read?,Answer.Suggestion,Answer.citation,Answer.paper-link
335VBRURDJOQGWR2D44J5L8VWFY9EC,3EF8EXOTT2JIOR8TDU5IBFYRI1VJ1U,A3F9JBVNMQ4ZUV,189,14374,15,Effectively prioritizing tests in development environment,"amitabh srivastava,jay thiagarajan","51","Software testing helps ensure not only that the software under development has been implemented correctly, but also that further development does not break it. If developers introduce new defects into the software, these should be detected as early and inexpensively as possible in the development cycle. To help optimize which tests are run at what points in the design cycle, we have built Echelon, a test prioritization system, which prioritizes the application's given set of tests, based on what changes have been made to the program.Echelon builds on the previous work on test prioritization and proposes a practical binary code based approach that scales well to large systems. Echelon utilizes a binary matching system that can accurately compute the differences at a basic block granularity between two versions of the program in binary form. Echelon utilizes a fast, simple and intuitive heuristic that works well in practice to compute what tests will cover the affected basic blocks in the program. Echelon orders the given tests to maximally cover the affected program so that defects are likely to be found quickly and inexpensively. Although the primary focus in Echelon is on program changes, other criteria can be added in computing the priorities.Echelon is part of a test effectiveness infrastructure that runs under the Windows environment. It is currently being integrated into the Microsoft software development process. Echelon has been tested on large Microsoft product binaries. The results show that Echelon is effective in ordering tests based on changes between two program versions.",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.526.8448&rep=rep1&type=pdf,1,1,1,2,{},330,http://dl.acm.org/citation.cfm?id=566187
335VBRURDJOQGWR2D44J5L8VWFYE9H,33UKMF931A8DBEG7R73WJR4V98OTT2,A2VO6V2FJEQZZ,149,20738,19,Analyzing Regression Test Selection Techniques,"gregg rothermel,mary jean harrold","67","Regression testing is a necessary but expensive maintenance activity aimed at showing that code has not been adversely affected by changes. Regression test selection techniques reuse tests from an existing test suite to test a modified program. Many regression test selection techniques have been proposed; however, it is difficult to compare and evaluate these techniques because they have different goals. This paper outlines the issues relevant to regression test selection techniques, and uses these issues as the basis for a framework within which to evaluate the techniques. We illustrate the application of our framework by using it to evaluate existing regression test selection techniques. The evaluation reveals the strengths and weaknesses of existing techniques, and highlights some problems that future work in this area should address.",http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1013&context=csearticles,1,1,1,1|2|3|4,{},686,http://ieeexplore.ieee.org/abstract/document/536955/
335VBRURDJOQGWR2D44J5L8VWFYE9H,3G5F9DBFOQL2JXT1W8MM6QPSUEDHVT,A3F9JBVNMQ4ZUV,79,20738,19,Analyzing Regression Test Selection Techniques,"gregg rothermel,mary jean harrold","67","Regression testing is a necessary but expensive maintenance activity aimed at showing that code has not been adversely affected by changes. Regression test selection techniques reuse tests from an existing test suite to test a modified program. Many regression test selection techniques have been proposed; however, it is difficult to compare and evaluate these techniques because they have different goals. This paper outlines the issues relevant to regression test selection techniques, and uses these issues as the basis for a framework within which to evaluate the techniques. We illustrate the application of our framework by using it to evaluate existing regression test selection techniques. The evaluation reveals the strengths and weaknesses of existing techniques, and highlights some problems that future work in this area should address.",http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1013&context=csearticles,,1,1,2,{},685,http://ieeexplore.ieee.org/abstract/document/536955/
335VBRURDJOQGWR2D44J5L8VWFYE9H,3O6CYIULEEPK38ZQMHYHB7XWVDQWUS,AZ72Z7VU6TQCN,65,20738,19,Analyzing Regression Test Selection Techniques,"gregg rothermel,mary jean harrold","67","Regression testing is a necessary but expensive maintenance activity aimed at showing that code has not been adversely affected by changes. Regression test selection techniques reuse tests from an existing test suite to test a modified program. Many regression test selection techniques have been proposed; however, it is difficult to compare and evaluate these techniques because they have different goals. This paper outlines the issues relevant to regression test selection techniques, and uses these issues as the basis for a framework within which to evaluate the techniques. We illustrate the application of our framework by using it to evaluate existing regression test selection techniques. The evaluation reveals the strengths and weaknesses of existing techniques, and highlights some problems that future work in this area should address.",DOI: 10.1109/32.536955,1,1,1,1|2,{},686,http://ieeexplore.ieee.org/abstract/document/536955/
33KGGVH24U5HXRFO4WFIE4BJE9KX1Z,3P529IW9KZ9F9WQ1NEWGGWFDN04FLE,A3F9JBVNMQ4ZUV,103,21185,19,Using Program Slicing in Software Maintenance,"keith gallagher,james r. lyle","62","Program slicing is applied to the software maintenance problem by extending the notion of a program slice (that originally required both a variable and line number) to a decomposition slice, one that captures all computation on a given variable, i.e., is independent of line numbers. Using the lattice of single variable decomposition slices ordered by set inclusion, it is shown how a slice-based decomposition for programs can be formed. One can then delineate the effects of a proposed change by isolating those effects in a single component of the decomposition. This gives maintainers a straightforward technique for determining those statements and variables which may be modified in a component and those which may not. Using the decomposition, a set of principles to prohibit changes which will interfere with unmodified components is provided. These semantically consistent changes can then be merged back into the original program in linear time.",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.39.1532&rep=rep1&type=pdf,1,1,1,2,{},821,http://ieeexplore.ieee.org/abstract/document/83912/
33KGGVH24U5HXRFO4WFIE4BJE9KX1Z,3WETL7AQWUW6RV7NBWF7YYUJY3353D,AZ72Z7VU6TQCN,86,21185,19,Using Program Slicing in Software Maintenance,"keith gallagher,james r. lyle","62","Program slicing is applied to the software maintenance problem by extending the notion of a program slice (that originally required both a variable and line number) to a decomposition slice, one that captures all computation on a given variable, i.e., is independent of line numbers. Using the lattice of single variable decomposition slices ordered by set inclusion, it is shown how a slice-based decomposition for programs can be formed. One can then delineate the effects of a proposed change by isolating those effects in a single component of the decomposition. This gives maintainers a straightforward technique for determining those statements and variables which may be modified in a component and those which may not. Using the decomposition, a set of principles to prohibit changes which will interfere with unmodified components is provided. These semantically consistent changes can then be merged back into the original program in linear time.",DOI: 10.1109/32.83912,1,1,,1|2,{},821,http://ieeexplore.ieee.org/abstract/document/83912/
33KGGVH24U5HXRFO4WFIE4BJE9L1X4,3BXQMRHWK0MOYW5CIFSU29V5XT3MUI,A1665VCUSZL9YT,303,1866,1,FeedbackDirected Random Test Generation,"carlos pacheco,shuvendu k. lahiri,michael d. ernst,thomas a. ball","75","We present a technique that improves random test generation by incorporating feedback obtained from executing test inputs as they are created. Our technique builds inputs incrementally by randomly selecting a method call to apply and finding arguments from among previously-constructed inputs. As soon as an input is built, it is executed and checked against a set of contracts and filters. The result of the execution determines whether the input is redundant, illegal, contract-violating, or useful for generating more inputs. The technique outputs a test suite consisting of unit tests for the classes under test. Passing tests can be used to ensure that code contracts are preserved across program changes; failing tests (that violate one or more contract) point to potential errors that should be corrected. Our experimental results indicate that feedback-directed random test generation can outperform systematic and undirected random test generation, in terms of coverage and error detection. On four small but nontrivial data structures (used previously in the literature), our technique achieves higher or equal block and predicate coverage than model checking (with and without abstraction) and undirected random generation. On 14 large, widely-used libraries (comprising 780KLOC), feedback-directed random test generation finds many previously-unknown errors, not found by either model checking or undirected random generation.",https://doi.org/10.1109/ICSE.2007.37,1,1,1,1|2,{},193,http://dl.acm.org/citation.cfm?id=1248841
33KGGVH24U5HXRFO4WFIE4BJE9L1X4,3JPSL1DZ5TNA15CEOBQ3FN8BVQMANF,A314XJY8V1YL12,265,1866,1,FeedbackDirected Random Test Generation,"carlos pacheco,shuvendu k. lahiri,michael d. ernst,thomas a. ball","75","We present a technique that improves random test generation by incorporating feedback obtained from executing test inputs as they are created. Our technique builds inputs incrementally by randomly selecting a method call to apply and finding arguments from among previously-constructed inputs. As soon as an input is built, it is executed and checked against a set of contracts and filters. The result of the execution determines whether the input is redundant, illegal, contract-violating, or useful for generating more inputs. The technique outputs a test suite consisting of unit tests for the classes under test. Passing tests can be used to ensure that code contracts are preserved across program changes; failing tests (that violate one or more contract) point to potential errors that should be corrected. Our experimental results indicate that feedback-directed random test generation can outperform systematic and undirected random test generation, in terms of coverage and error detection. On four small but nontrivial data structures (used previously in the literature), our technique achieves higher or equal block and predicate coverage than model checking (with and without abstraction) and undirected random generation. On 14 large, widely-used libraries (comprising 780KLOC), feedback-directed random test generation finds many previously-unknown errors, not found by either model checking or undirected random generation.",https://doi.org/10.1109/ICSE.2007.37,1,1,1,1|2|3,{},545,http://dl.acm.org/citation.cfm?id=1248841
33KGGVH24U5HXRFO4WFIE4BJE9L1X4,3L0KT67Y8F48D02MCDL5H30OL5ASYA,A3F9JBVNMQ4ZUV,706,1866,1,FeedbackDirected Random Test Generation,"carlos pacheco,shuvendu k. lahiri,michael d. ernst,thomas a. ball","75","We present a technique that improves random test generation by incorporating feedback obtained from executing test inputs as they are created. Our technique builds inputs incrementally by randomly selecting a method call to apply and finding arguments from among previously-constructed inputs. As soon as an input is built, it is executed and checked against a set of contracts and filters. The result of the execution determines whether the input is redundant, illegal, contract-violating, or useful for generating more inputs. The technique outputs a test suite consisting of unit tests for the classes under test. Passing tests can be used to ensure that code contracts are preserved across program changes; failing tests (that violate one or more contract) point to potential errors that should be corrected. Our experimental results indicate that feedback-directed random test generation can outperform systematic and undirected random test generation, in terms of coverage and error detection. On four small but nontrivial data structures (used previously in the literature), our technique achieves higher or equal block and predicate coverage than model checking (with and without abstraction) and undirected random generation. On 14 large, widely-used libraries (comprising 780KLOC), feedback-directed random test generation finds many previously-unknown errors, not found by either model checking or undirected random generation.",10.1109/ICSE.2007.37,4,1,1,1|2,{},545,http://dl.acm.org/citation.cfm?id=1248841
33N1S8XHHM962MF35E33BPRUM9J1Z1,3HMVI3QICKG8JG3SZU6LL2DFVHZY1M,A2E8Q6UFDQLOJ3,313,9869,9,Fair and balanced bias in bugfix datasets,"christian bird,adrian bachmann,eirik aune,john duffy,abraham bernstein,vladimir filkov,premkumar t. devanbu","57","Software engineering researchers have long been interested in where and why bugs occur in code, and in predicting where they might turn up next. Historical bug-occurence data has been key to this research. Bug tracking systems, and code version histories, record when, how and by whom bugs were fixed; from these sources, datasets that relate file changes to bug fixes can be extracted. These historical datasets can be used to test hypotheses concerning processes of bug introduction, and also to build statistical bug prediction models. Unfortunately, processes and humans are imperfect, and only a fraction of bug fixes are actually labelled in source code version histories, and thus become available for study in the extracted datasets. The question naturally arises, are the bug fixes recorded in these historical datasets a fair representation of the full population of bug fixes? In this paper, we investigate historical data from several software projects, and find strong evidence of systematic bias. We then investigate the potential effects of ""unfair, imbalanced"" datasets on the performance of prediction techniques. We draw the lesson that bias is a critical problem that threatens both the effectiveness of processes that rely on biased datasets to build prediction models and the generalizability of hypotheses tested on biased data.",https://doi.org/10.1145/1595696.1595716,3,1,1,2,{},102,http://dl.acm.org/citation.cfm?id=1595716
33N1S8XHHM962MF35E33BPRUM9J1Z1,3MAOD8E57RYMXIK7ZLIHZVJ9W1MNX3,AAZGEO8M5ZYOB,250,9869,9,Fair and balanced bias in bugfix datasets,"christian bird,adrian bachmann,eirik aune,john duffy,abraham bernstein,vladimir filkov,premkumar t. devanbu","57","Software engineering researchers have long been interested in where and why bugs occur in code, and in predicting where they might turn up next. Historical bug-occurence data has been key to this research. Bug tracking systems, and code version histories, record when, how and by whom bugs were fixed; from these sources, datasets that relate file changes to bug fixes can be extracted. These historical datasets can be used to test hypotheses concerning processes of bug introduction, and also to build statistical bug prediction models. Unfortunately, processes and humans are imperfect, and only a fraction of bug fixes are actually labelled in source code version histories, and thus become available for study in the extracted datasets. The question naturally arises, are the bug fixes recorded in these historical datasets a fair representation of the full population of bug fixes? In this paper, we investigate historical data from several software projects, and find strong evidence of systematic bias. We then investigate the potential effects of ""unfair, imbalanced"" datasets on the performance of prediction techniques. We draw the lesson that bias is a critical problem that threatens both the effectiveness of processes that rely on biased datasets to build prediction models and the generalizability of hypotheses tested on biased data.",10.1145/1595696.1595716,3|4,2,3,1|2|3|4,{},102,http://dl.acm.org/citation.cfm?id=1595716
33N1S8XHHM962MF35E33BPRUM9J1Z1,3TY7ZAOG5G8DSMTTZW1UYPFUSY70KP,A3F9JBVNMQ4ZUV,86,9869,9,Fair and balanced bias in bugfix datasets,"christian bird,adrian bachmann,eirik aune,john duffy,abraham bernstein,vladimir filkov,premkumar t. devanbu","57","Software engineering researchers have long been interested in where and why bugs occur in code, and in predicting where they might turn up next. Historical bug-occurence data has been key to this research. Bug tracking systems, and code version histories, record when, how and by whom bugs were fixed; from these sources, datasets that relate file changes to bug fixes can be extracted. These historical datasets can be used to test hypotheses concerning processes of bug introduction, and also to build statistical bug prediction models. Unfortunately, processes and humans are imperfect, and only a fraction of bug fixes are actually labelled in source code version histories, and thus become available for study in the extracted datasets. The question naturally arises, are the bug fixes recorded in these historical datasets a fair representation of the full population of bug fixes? In this paper, we investigate historical data from several software projects, and find strong evidence of systematic bias. We then investigate the potential effects of ""unfair, imbalanced"" datasets on the performance of prediction techniques. We draw the lesson that bias is a critical problem that threatens both the effectiveness of processes that rely on biased datasets to build prediction models and the generalizability of hypotheses tested on biased data.",http://cabird.com/pubs/bird2009fbb.pdf,,1,2,1|2,{},260,http://dl.acm.org/citation.cfm?id=1595716
33W1NHWFYH97B6RC7XNDHVAPES9ZT7,39RP059MEIH92XW6IOBZXJ3H8PIBMA,AZ72Z7VU6TQCN,77,2178,1,Use of relative code churn measures to predict system defect density,"nachiappan nagappan,thomas a. ball","81","Software systems evolve over time due to changes in requirements, optimization of code, fixes for security and reliability bugs etc. Code churn, which measures the changes made to a component over a period of time, quantifies the extent of this change. We present a technique for early prediction of system defect density using a set of relative code churn measures that relate the amount of churn to other variables such as component size and the temporal extent of churn.Using statistical regression models, we show that while absolute measures of code churn are poor predictors of defect density, our set of relative measures of code churn is highly predictive of defect density. A case study performed on Windows Server 2003 indicates the validity of the relative code churn measures as early indicators of system defect density. Furthermore, our code churn metric suite is able to discriminate between fault and not fault-prone binaries with an accuracy of 89.0 percent.",DOI: 10.1109/ICSE.2005.1553571,1,1,1,2,{},545,http://ieeexplore.ieee.org/abstract/document/1553571/
33W1NHWFYH97B6RC7XNDHVAPES9ZT7,3E4GGUZ1T9FKOWW7EJ58HD89PXO2KA,A3F9JBVNMQ4ZUV,59,2178,1,Use of relative code churn measures to predict system defect density,"nachiappan nagappan,thomas a. ball","81","Software systems evolve over time due to changes in requirements, optimization of code, fixes for security and reliability bugs etc. Code churn, which measures the changes made to a component over a period of time, quantifies the extent of this change. We present a technique for early prediction of system defect density using a set of relative code churn measures that relate the amount of churn to other variables such as component size and the temporal extent of churn.Using statistical regression models, we show that while absolute measures of code churn are poor predictors of defect density, our set of relative measures of code churn is highly predictive of defect density. A case study performed on Windows Server 2003 indicates the validity of the relative code churn measures as early indicators of system defect density. Furthermore, our code churn metric suite is able to discriminate between fault and not fault-prone binaries with an accuracy of 89.0 percent.",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.85.7712&rep=rep1&type=pdf,3,1,1,2,{},543,http://ieeexplore.ieee.org/abstract/document/1553571/
34KYK9TV2RWAE8BHCJ2KL870L6ABSP,3HVVDCPGTFG9S0F11DQVR8WANO4YTL,A3F9JBVNMQ4ZUV,117,2356,1,Mining Version Histories to Guide Software Changes,"thomas zimmermann,peter weissgerber,stephan diehl,andreas zeller","70","We apply data mining to version histories in order toguide programmers along related changes: ""Programmerswho changed these functions also changed. . . "". Given aset of existing changes, such rules (a) suggest and predictlikely further changes, (b) show up item coupling that is indetectableby program analysis, and (c) prevent errors dueto incomplete changes. After an initial change, our ROSEprototype can correctly predict 26% of further files to bechanged  and 15% of the precise functions or variables.The topmost three suggestions contain a correct locationwith a likelihood of 64%.",10.1109/TSE.2005.72,1,1,1,1|2,{},1110,http://ieeexplore.ieee.org/abstract/document/1463228/
34KYK9TV2RWAE8BHCJ2KL870L6ABSP,3QECW5O0KIPBQC5HQBLYGBYHT52T5B,A2VO6V2FJEQZZ,107,2356,1,Mining Version Histories to Guide Software Changes,"thomas zimmermann,peter weissgerber,stephan diehl,andreas zeller","70","We apply data mining to version histories in order toguide programmers along related changes: ""Programmerswho changed these functions also changed. . . "". Given aset of existing changes, such rules (a) suggest and predictlikely further changes, (b) show up item coupling that is indetectableby program analysis, and (c) prevent errors dueto incomplete changes. After an initial change, our ROSEprototype can correctly predict 26% of further files to bechanged  and 15% of the precise functions or variables.The topmost three suggestions contain a correct locationwith a likelihood of 64%.","http://222.252.30.203:8888/bitstream/123456789/10409/1/429-455..Software%20Engineering,%20IEEE%20Transactions.%20Vol.31.Iss.6.A.2.pdf",1,1,1,1|2|3,{},1110,http://ieeexplore.ieee.org/abstract/document/1463228/?reload=true
34O39PNDK6WYDTB4XU2FVY24Z4RBR1,3NAPMVF0ZX3WTHPNVPGZD83NJBS274,A2BQ3DT66XFZ2C,760,19048,18,Objectoriented metrics that predict maintainability,"wei li 0014,sallie m. henry","79",None,https://doi.org/10.1016/0164-1212(93)90077-B,3,1,1,1|5,{},1123,http://www.sciencedirect.com/science/article/pii/016412129390077B
34O39PNDK6WYDTB4XU2FVY24Z4RBR1,3WAKVUDHUX45DTYPE9Q5JRYF24DU7K,A3F9JBVNMQ4ZUV,51,19048,18,Objectoriented metrics that predict maintainability,"wei li 0014,sallie m. henry","79",None,http://eprints.cs.vt.edu/archive/00000347/01/TR-93-05.pdf,1|4,1,1,1|2,{},1123,http://www.sciencedirect.com/science/article/pii/016412129390077B
34O39PNDK6WYDTB4XU2FVY24Z4RBR1,3WZ36BJEV44DFSMQRLCBJXY92I8BTB,A1ODVXVCDHOVF1,166,19048,18,Objectoriented metrics that predict maintainability,"wei li 0014,sallie m. henry","79",None,10.1016/0164-1212(93)90077-B,3|4,1,1,2,"Need to re-do hit interface so hit cannot be submitted without ticking all Circle Boxes I think. Highly likely I've submitted a couple without Qualitative/Quantitative ticked.May also need way to hide instructions. Screenspace is precious for high volume turkers.",1123,http://www.sciencedirect.com/science/article/pii/016412129390077B?via%3Dihub
34OWYT6U3W52W1TO9NUAQ06NO859IL,3OF2M9AATHCAU7ZJ3QEM4OIGAN9KZK,AZ72Z7VU6TQCN,275,1907,1,Detection of Duplicate Defect Reports Using Natural Language Processing,"per runeson,magnus alexandersson,oskar nyholm","45","Defect reports are generated from various testing and development activities in software engineering. Sometimes two reports are submitted that describe the same problem, leading to duplicate reports. These reports are mostly written in structured natural language, and as such, it is hard to compare two reports for similarity with formal methods. In order to identify duplicates, we investigate using Natural Language Processing (NLP) techniques to support the identification. A prototype tool is developed and evaluated in a case study analyzing defect reports at Sony Ericsson Mobile Communications. The evaluation shows that about 2/3 of the duplicates can possibly be found using the NLP techniques. Different variants of the techniques provide only minor result differences, indicating a robust technology. User testing shows that the overall attitude towards the technique is positive and that it has a growth potential.",doi>10.1109/ICSE.2007.32,1,,1,2|3,{},360,http://dl.acm.org/citation.cfm?id=1248882
